NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
775.17,63.234,794.63,105.2,921.01,408.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
776.02,68.534,765.18,100.92,708.8,82.418,711.6,18.579,703.51,156.67,810.28,128.1,NaN,NaN,NaN,NaN
772.44,73.176,740.43,148.64,728.23,95.219,708.27,21.845,684.75,156.39,793.52,134.66,926.19,517.93,NaN,NaN
764.79,79.513,714.94,124.94,681.71,78.59,704.14,23.43,686.53,162.22,768.86,141.32,926.15,554.9,NaN,NaN
755.1,84.314,696.31,127.15,665.4,67.294,700.34,21.784,682.32,164.15,754.03,143.78,927.19,598.01,NaN,NaN
752.19,85.566,677.67,129.36,661.96,56.427,698.54,19.525,678.11,166.08,750.6,144.28,928.17,642.21,NaN,NaN
747.42,88.885,692.15,108.71,669.35,37.854,696.1,18.957,660.27,157.08,743.6,145.27,928.85,682.68,NaN,NaN
742.66,92.203,691.49,106.59,671.69,28.686,693.66,18.389,652.7,156.32,742.09,145.39,928.35,719.47,NaN,NaN
737.9,95.522,684.76,108.38,672.03,22.328,691.22,17.821,645.12,155.56,731.04,146.73,928.05,749.21,NaN,NaN
733.14,98.841,671.54,112.74,670.91,18.261,688.78,17.254,637.55,154.79,723.07,148.08,928.66,772.89,NaN,NaN
728.38,102.16,667.74,114.31,670.61,17.683,686.34,16.686,629.98,154.03,715.1,149.42,928.12,789.21,NaN,NaN
723.62,105.48,660.34,115.2,667.06,15.861,683.89,16.118,622.41,153.26,707.12,150.77,927.68,796.6,NaN,NaN
718.86,108.8,652.94,116.09,665.13,10.526,NaN,NaN,NaN,NaN,699.15,152.12,927.51,795.12,NaN,NaN
NaN,NaN,645.54,116.99,664.63,9.0898,NaN,NaN,NaN,NaN,691.18,153.47,927.79,785.08,NaN,NaN
NaN,NaN,638.15,117.88,663.29,5.6029,NaN,NaN,NaN,NaN,683.2,154.81,928.03,766.8,NaN,NaN
NaN,NaN,630.75,118.77,661.95,2.1159,NaN,NaN,NaN,NaN,675.23,156.16,927.55,741.88,NaN,NaN
NaN,NaN,623.35,119.66,660.61,-1.3711,NaN,NaN,NaN,NaN,667.26,157.51,928.3,712.47,NaN,NaN
NaN,NaN,615.95,120.56,659.28,-4.8581,NaN,NaN,NaN,NaN,659.28,158.86,928.27,678.68,NaN,NaN
NaN,NaN,608.55,121.45,657.94,-8.3451,NaN,NaN,NaN,NaN,NaN,NaN,927.85,642.49,NaN,NaN
NaN,NaN,601.15,122.34,656.6,-11.832,NaN,NaN,NaN,NaN,NaN,NaN,927.18,605.77,NaN,NaN
