NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
762.16,215.94,785.16,283.75,889.44,225.88,871.97,285.7,936.97,415.03,935.24,264,940.38,580.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
936.54,414.63,940.39,577.48,679.48,77.879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
936.11,414.23,940.4,574.85,697.67,46.826,754.82,30.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
704.42,29.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
676.07,106.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
672.66,117.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
746.06,43.597,938.09,412.85,938.67,545.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
764.32,30.157,938.45,537.81,893.01,194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
693.1,99.69,938.23,530.21,893.05,193.86,898.72,160.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
679.43,112.74,893.09,193.72,897.81,161.57,668.9,392.8,725.19,349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
673.99,118.09,887.76,185.18,725.09,348.99,934.61,467.58,934.01,663.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
669.47,123.27,883.22,191.22,725.84,349.07,934.03,685.44,765.7,154.99,825.26,286.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
668.26,122.76,881.77,192.64,726.1,349.09,931.25,737.03,762.98,152.91,666.54,209.35,680.33,234.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
664.03,121.65,881.2,192.28,726.33,349.12,929.78,772.37,759.24,151.49,666.54,209.35,680.33,234.9,936.5,635.5,NaN,NaN,NaN,NaN,NaN,NaN
661.91,121.46,877.74,191.46,726.55,349.14,929.01,792.98,757.01,150.64,666.54,209.35,680.33,234.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
661.68,123.17,876.74,190.82,726.78,349.16,928.64,799.33,756.16,150.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
659.05,125.01,875.38,191.56,727,349.18,928.9,793.34,748.78,146.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.47,47.126,875.07,191.69,926.22,207.58,930.27,776.08,736.29,75.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
