NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110.43,463.74,304.94,633.89,405.36,458.27,395.49,598.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104.86,462.18,303.24,634.04,375.78,612.87,120.19,602.77,479.46,727.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99.291,460.63,301.54,634.19,436.73,590.39,471.54,743.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
458.42,581.96,469.44,754.83,490.6,996.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
464.61,586.49,467.33,766.51,472.6,369.41,480.62,438.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
465.32,588.34,490.74,948.33,472.6,369.41,295.37,589.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
474.07,588.18,494.96,1002.2,472.6,369.41,470.81,1231.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
482.83,588.03,467.22,1310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
491.58,587.88,463.68,1381.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500.33,587.73,462.11,1430.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
509.08,587.58,464.1,1453.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499.37,736.55,463.91,1446.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
501.56,706.88,465.02,1413.9,505.39,364.53,505.23,300.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
506.1,714.32,466.47,1358.4,505.58,364.51,505.55,300.52,507.31,441.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
510.64,721.76,468.57,1284.8,505.77,364.5,505.86,300.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
515.18,729.2,471.04,1197.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
519.72,736.64,470.8,1103.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
524.26,744.08,472.94,1007.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
528.8,751.52,476.01,916.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
533.34,758.96,478.86,836.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
537.88,766.4,481.56,770.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
542.42,773.84,482.83,722.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,482.96,695.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
482.19,708.86,484.35,642.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
480.9,725.57,485.74,588.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
479.65,763.27,487.13,535.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
478.26,819.73,488.51,482.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
476.97,888.46,489.9,428.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
474.93,968.1,491.29,375.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
472.74,1054.1,492.68,321.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
469.8,1138.5,494.06,268.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
466.22,1218.9,495.45,215.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
463.02,1290.8,496.84,161.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
461.12,1345.9,498.22,108.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
460.62,1384.4,499.61,55.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
460.81,1402,501,1.8821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
460.86,1398.7,502.39,-51.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
461.03,1376,503.77,-104.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
461.13,1333.2,505.16,-158.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
